Codigo,Descricao,Data_Inicio,Data_Fim,Tipo_Ato_Ini,Numero_Ato_Ini,Ano_Ato_Ini
03023500,"-- Atuns-azuis (atuns) (<i>Thunnus thynnus, Thunnus orientalis</i>)",01/04/2022,31/12/9999,Res Camex,272,2021
03023600,-- Atum-azul do sul (atum) (<i>Thunnus maccoyii</i>),01/04/2022,31/12/9999,Res Camex,272,2021
03023900,-- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
03024,"- Arenques (<i>Clupea harengus, Clupea pallasii</i>), anchovas (biqueirões*) (<i>Engraulis</i> spp), sardinhas (<i>Sardina pilchardus, Sardinops</i> spp<i>, Sardinella</i> spp) (sardinha (<i>Sardina pilchardus</i>) e sardinelas (<i>Sardinops</i> spp,<i> </i><i>Sardinella</i> spp)*), anchoveta (espadilha*) (<i>Sprattus sprattus</i>), cavalinhas (sardas e cavalas*) (<i>Scomber scombrus, Scomber australasicus, Scomber japonicus</i>), cavalas-do-índico (<i>Rastrelliger</i> spp), serras (<i>Scomberomorus</i> spp), carapaus (<i>Trachurus</i> spp), xaréus (<i>Caranx</i> spp), bijupirá (cobia*) (<i>Rachycentron canadum</i>), pampos-prateado (<i>Pampus</i> spp), agulhão-do-japão (<i>Cololabis saira</i>), charros (<i>Decapterus</i> spp), capelim (<i>Mallotus villosus</i>), espadarte (<i>Xiphias gladius</i>), merma-oriental (<i>Euthynnus affinis</i>), bonitos (<i>Sarda</i> spp), espadins, marlins, veleiros (<i>Istiophoridae</i>), exceto subprodutos comestíveis de peixes das subposições 030291 a 030299:",01/04/2022,31/12/9999,Res Camex,272,2021
03024100,"-- Arenques (<i>Clupea harengus, Clupea pallasii</i>)",01/04/2022,31/12/9999,Res Camex,272,2021
030242,-- Anchovas (Biqueirões*) (<i>Engraulis</i> spp),01/04/2022,31/12/9999,Res Camex,272,2021
03024210,Anchoita (<i>Engraulis anchoita</i>),01/04/2022,31/12/9999,Res Camex,272,2021
03024290,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
03024300,"-- Sardinhas (<i>Sardina pilchardus, Sardinops</i> spp, <i>Sardinella</i> spp) (Sardinha (<i>Sardina pilchardus</i>) e sardinelas (<i>Sardinops</i> spp, <i>Sardinella</i> spp)*), anchoveta (espadilha*) (<i>Sprattus sprattus</i>)",01/04/2022,31/12/9999,Res Camex,272,2021
03024400,"-- Cavalinhas (Sardas e cavalas*) (<i>Scomber scombrus, Scomber australasicus, Scomber japonicus</i>)",01/04/2022,31/12/9999,Res Camex,272,2021
03024500,-- Carapaus (<i>Trachurus</i> spp),01/04/2022,31/12/9999,Res Camex,272,2021
03024600,-- Bijupirá (Cobia*) (<i>Rachycentron canadum</i>),01/04/2022,31/12/9999,Res Camex,272,2021
03024700,-- Espadarte (<i>Xiphias gladius</i>),01/04/2022,31/12/9999,Res Camex,272,2021
030249,-- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
03024910,"Espadins, marlins, veleiros (<i>Istiophoridae</i>)",01/04/2022,31/12/9999,Res Camex,272,2021
